Remote_Ratio,Tigon,TwoPL-CXL-improved,Sundial-CXL-improved,Motor,TwoPL-NET,Sundial-NET,Tigon-NET
0,720000,612000,732000,342000,458000,496000,620000
10,712000,598000,732000,336000,428000,469000,612000
20,708000,579000,708000,328000,398000,443000,608000
30,704000,558000,674000,319000,368000,418000,604000
40,701000,541000,631000,311000,338000,391000,601000
50,700800,523000,568000,302000,308000,366000,600800
60,700600,506000,546000,295000,279000,341000,600600
70,703000,488000,533000,287000,251000,318000,603000
80,702000,472000,532000,279000,224000,294000,602000
90,701000,456000,531000,272000,228000,281000,601000
